label	company_name
169	Steinhoff International
73	Starbucks
193	Genesys
10	NextEra Energy Partners
95	Ping An Good Doctor
2	Carroll County Energy
18	Assertio
121	Databricks
40	Nektar Therapeutics
86	Eurazeo
77	Meizu Technology
90	Qunar.com
200	Zhihu
7	PJSC Polyus
8	arGEN-X
161	True Corporation
212	Le.com
130	Authentic Brands Group
72	Bank for Investment and Development of Vietnam
6	Danke Apartment
84	Qudian
83	Nokia
105	Credit Karma
141	Zynga
57	IO.com
91	DaDa
159	HFF
214	Galaxy Entertainment Group
142	OPAP
154	Lenovo
28	LabCorp
127	Zain Group
66	Durr
122	CitizenM
209	XM Satellite Radio
59	Ormat Technologies
72	Judo Bank
53	FireEye
19	Bloom Energy
47	NMC Health
115	GENBAND
104	NCR
85	African Export-Import Bank
178	Hugel Control
224	LegalZoom
2	BrightSource Energy
130	TOPSHOP TOPMAN
208	Alibaba Pictures
191	Beijing Weiying Technology
163	kabu.com Securities
66	Nexperia
160	Kushner Companies
74	Beats Electronics
177	Civitas Capital Group
91	Houghton Mifflin Harcourt
152	Nabors Drilling
152	Tall City Exploration
163	EnfraGen Capital
35	Paytm Mall
190	Meicai
66	AIWAYS
106	Yidao Yongche
127	Coolpad
52	BEST Logistics Technology
132	Diebold Nixdorf
134	23andMe
121	Tanium
104	Security Bank Corporation
87	NFP - Poulos Insurance
87	Signa Retail
157	Aihuishou
10	Tabreed
212	Miaopai
159	Vista Land & Lifescapes
51	Careem
114	Vertical Bridge Holdings
51	Lytx
189	Xinchao Media
117	Abellio
176	Reggefiber
112	Bitmain
88	Ironshore Insurance
0	Osum
120	Zomato
90	Tujia
152	Delta Hydrocarbons
9	Moda Midstream
109	Aqua America
58	BMC Software
103	Graybar
80	Open Environment Corporation
72	Yes Bank
171	Virtu Financial
21	Salix Pharmaceuticals
19	Gunvor Group
79	Telefonica
87	SBI Life
227	Ucommune
155	OVHcloud
116	Vodafone AG & Co. KG
25	Auris Health
85	Compass Diversified Holdings
48	Kuaidi Dache
175	Klabin
27	Ginkgo Bioworks
208	Kroenke Sports & Entertainment
179	Odebrecht Ambiental
17	Chr. Hansen
28	Haemonetics
59	Cricket Valley Energy Center
46	Wright Medical Group
212	PPTV
20	Aerie Pharmaceuticals
45	Sunlight Financial
96	Farfetch
112	Horizon Robotics
52	Lineage Logistics
113	AerCap
156	CDB Aviation
191	Iron Mountain
73	Post Holdings
227	Newmont Goldcorp
214	STX Entertainment
45	Cypress Creek Renewables
144	YgEia3
104	BGL Group
136	Jiedaibao
107	WildBlue
86	African Development Fund
67	Intime Retail
43	Aurora
185	Impossible Foods
153	Ryan
39	BioNTech
189	M7
212	Hulu
84	N26
167	Carbon
104	Xero
208	Bruin Sports Capital
208	VF
46	PetVet Care Centers
31	Puma Biotechnology
45	Hanwha SolarOne
204	Maoyan
138	First Solar
13	Samsung Bioepis
68	Ericsson
172	Modern Tech
5	Samumed
226	Panshi
90	GetYourGuide
127	IHS Towers
164	Naturex
208	Real Madrid C.F.
85	AMP
103	Nyrstar
86	OneConnect
6	Mofang Gongyu
163	GFG Alliance
213	J2 Global
221	Qihoo 360 Technology
143	DraftKings
163	AGNC Investment
62	Hozon
191	Red Star Macalline
85	PNB Housing Finance
220	Schibsted
176	Jones Lang LaSalle
10	Genex Power
86	Janalakshmi
169	Signet Jewelers
19	Spire
10	Enel OGK-5
96	Matahari Mall
130	Zalando
163	Elevate Credit
176	Houzz
170	VANCL
19	Orano
99	GreenSky
122	Soho House
168	Indigo AG
39	Ironwood Pharmaceuticals
167	Moncler S P A
132	Improbable
83	Tata Teleservices
105	Renew Financial
101	AdaptHealth
59	Mytrah Energy
20	Vertex Pharmaceuticals
