0,1,2
-0.55877256,12.619749,3.8945365
11.203818,-2.5173368,-2.859973
-5.875672,-2.2138689,8.718317
9.361541,-2.6710978,1.7954166
4.5558257,2.3335657,7.906015
1.8246864,-1.5384152,-10.96159
-2.2031627,13.205194,1.5418682
2.1005833,-9.03543,9.737316
-8.580921,2.4290853,7.6053953
-1.3398758,7.4017873,6.6740904
7.341581,3.6880476,7.716886
1.6305575,5.2639613,-12.772823
9.333292,-6.379548,-5.440708
5.399676,2.9714975,-11.083
0.1113634,-7.8359284,-1.471945
0.98997056,4.442522,-11.226301
2.1023958,-9.013167,9.732371
-2.729651,2.1465905,8.872918
2.0620334,-8.9151945,9.713972
8.07687,-6.9476113,-5.296403
-2.1124713,13.204243,1.530041
2.9964037,-7.457752,10.780771
3.7346432,5.8248863,-5.3206377
5.445255,-4.2244368,-6.913516
7.641808,-1.8317666,4.311944
0.27499026,-4.400763,2.567977
-9.310434,0.57715744,5.843686
10.604358,-8.613272,-2.5296931
8.544003,-7.1282325,-1.642192
2.9411054,-9.46151,-7.5333033
4.5861144,-3.3900726,0.39303532
4.2300005,4.37001,9.594707
0.912594,13.28941,-2.0265887
5.7259364,-6.901231,3.7270823
4.841435,6.3715863,5.588402
11.330494,-6.781004,-0.061166305
2.0348325,-7.9285927,2.3100832
-10.66099,1.1973602,1.0285822
0.029411556,2.84523,-10.923364
2.3971243,-5.2078295,13.266877
6.613474,-3.0938764,-6.9401445
3.0775073,-9.585505,10.893461
-0.7216417,5.0616145,-12.813537
-0.071148045,-10.732875,-9.965522
0.76644653,3.5691228,11.460951
11.130084,1.9162278,3.6863465
-10.191441,1.2347057,3.6065037
-5.01727,-2.462394,-8.644479
2.726137,10.489339,-7.045381
-8.660764,8.337683,0.17868693
0.18623711,-6.100441,7.951188
5.501258,3.5149968,-8.562711
1.4484254,-4.2144513,4.880913
7.1503105,-10.606796,-5.4452767
-11.832733,5.843609,-0.43440226
7.2827783,3.5225163,8.056367
-11.168303,-2.2205694,-5.3255672
10.551408,-1.0476711,-3.8293428
10.85322,-8.644544,-1.9077815
1.7437644,-8.910234,9.744974
4.4590864,7.616521,-3.118721
5.1865,7.193691,-10.217276
12.058274,1.3478501,4.2103314
6.716301,0.8303994,-10.09149
4.4852414,-4.1471257,10.434801
5.298244,7.1942286,-10.40661
-0.45951518,12.08127,0.45945984
6.4245143,1.7083036,-1.8437994
0.80856407,-6.350299,-0.0011891122
-9.896301,0.46074587,0.10579041
10.391547,-1.9491578,-2.7737331
7.4987884,-1.9256624,-8.899396
2.7901728,-0.6241763,1.3029512
-0.16679212,-1.2569724,-10.036961
-3.5209336,-0.3104797,-6.1248965
5.457311,4.57132,-2.707765
7.3443847,1.9004542,-2.079092
6.5709176,-2.772496,10.466552
